sampleNum,description,group,conc
1,a_1_rep1,a,1
2,b_1_rep1,b,1
3,c_1_rep1,c,1
4,a_0.5_rep1,a,0.5
5,b_0.5_rep1,b,0.5
6,c_0.5_rep1,c,0.5
7,a_1.5_rep1,a,1.5
8,b_1.5_rep1,b,1.5
9,c_1.5_rep1,c,1.5
10,ab_0.5_rep1,ab,0.5
11,ac_0.5_rep1,ac,0.5
12,bc_0.5_rep1,bc,0.5
13,abc_0.3_rep1,abc,0.3
14,ab_0.3_rep1,ab,0.3
15,ac_0.3_rep1,ac,0.3
16,bc_0.3_rep1,bc,0.3
17,ab_0.5_rep2,ab,0.5
18,ac_0.5_rep2,ac,0.5
19,bc_0.5_rep2,bc,0.5
20,abc_0.3_rep2,abc,0.3
21,ab_0.3_rep2,ab,0.3
22,ac_0.3_rep2,ac,0.3
23,bc_0.3_rep2,bc,0.3
24,a_1_rep2,a,1
25,b_1_rep2,b,1
26,c_1_rep2,c,1
27,a_0.5_rep2,a,0.5
28,b_0.5_rep2,b,0.5
29,c_0.5_rep2,c,0.5
30,a_1.5_rep2,a,1.5
31,b_1.5_rep2,b,1.5
32,c_1.5_rep2,c,1.5